Aikaleima (dd.mm.yyyy hh:mm);Viikko;Kulutus (kWh);Aurinkovoima (kWh);Tuulivoima;Vesivoima;Ydinvoima;Yhteistuotanto;Erillinen lämpövoima
02.01.2020 22:00;1;10615801;0;1978337;1269010;2799999;2660199;202531
02.01.2020 23:00;1;10400219;0;1970744;1082784;2800041;2543342;212781
03.01.2020 00:00;1;9927051;0;1994732;970143;2799914;2373996;236218
03.01.2020 01:00;1;9524914;0;1976579;936957;2800527;2211340;311854
31.03.2020 20:00;14;10906235;0;1795220;2330395;1893878;2910524;109740
31.03.2020 21:00;14;10908486;0;1835334;2193576;1894260;2810695;107753
31.03.2020 22:00;14;10735637;0;1733736;2312870;1894631;2669844;131623
31.03.2020 23:00;14;10183927;0;1683326;2168177;1894624;2488440;155275
01.04.2020 00:00;14;9826708;0;1594316;1971318;1894909;2443388;173469
01.04.2020 01:00;14;9660493;0;1403847;1714861;1894740;2423380;138564
01.04.2020 02:00;14;9618313;0;1292990;1646335;1894730;2425588;126536
01.04.2020 03:00;14;9727913;0;1331023;1671567;1895376;2471018;155642
01.04.2020 04:00;14;10035889;0;1432348;1686972;1895055;2478602;128036
01.04.2020 05:00;14;10512501;0;1532711;1870147;1894726;2472466;120417
02.04.2020 05:00;14;10733667;7083;1511446;2044339;1894151;2594262;112410
